t,det_l,det_r,x,y,z,dist,ipd,yaw,pitch,roll,arousal,valence,change,dwell,absent,approach,attending,state,det_ms,fsm_state,fsm_row
0.230,1,1,-0.1225,0.1976,-0.4137,0.4746,0.0612,-30.04,-6.56,11.22,0.051,0.002,0.000,0.00,0.00,0.000,0,calibrating,207.8,ALONE,
0.343,1,1,-0.1238,0.1993,-0.4168,0.4783,0.0769,-31.33,-3.31,7.63,0.077,0.002,0.085,0.00,0.00,-0.007,0,calibrating,11.7,ALONE,
0.404,1,1,-0.1232,0.1981,-0.4146,0.4757,0.0676,-32.00,-4.46,8.75,0.094,-0.007,0.183,0.00,0.00,0.003,0,calibrating,11.0,ALONE,
0.470,1,1,-0.1234,0.1986,-0.4152,0.4765,0.0667,-31.72,-4.57,8.08,0.112,-0.009,0.228,0.00,0.00,0.000,0,calibrating,11.2,ALONE,
0.532,1,1,-0.1222,0.1969,-0.4123,0.4729,0.0645,-31.59,-4.64,8.04,0.120,-0.017,0.295,0.00,0.00,0.012,0,calibrating,11.3,ALONE,
0.599,1,1,-0.1229,0.1977,-0.4136,0.4746,0.0701,-31.87,-3.20,7.72,0.130,-0.021,0.284,0.00,0.00,0.005,0,calibrating,10.6,ALONE,
0.717,1,1,-0.1233,0.1983,-0.4145,0.4757,0.0739,-31.73,-4.40,7.97,0.142,-0.022,0.266,0.00,0.00,0.002,0,calibrating,67.5,ALONE,
0.811,1,1,-0.1233,0.1981,-0.4144,0.4756,0.0658,-32.18,-3.99,7.97,0.139,-0.029,0.333,0.00,0.00,0.002,0,calibrating,14.4,ALONE,
0.866,1,1,-0.1237,0.1988,-0.4159,0.4773,0.0706,-31.78,-3.99,8.10,0.143,-0.031,0.363,0.00,0.00,-0.005,0,calibrating,10.7,ALONE,
0.914,1,1,-0.1232,0.1981,-0.4146,0.4757,0.0695,-31.33,-3.76,8.11,0.163,-0.026,0.616,0.00,0.00,0.003,0,calibrating,10.2,ALONE,
0.962,1,1,-0.1218,0.1970,-0.4120,0.4726,0.0645,-31.33,-4.97,7.84,0.171,-0.024,0.629,0.00,0.00,0.015,0,calibrating,10.1,ALONE,
1.010,1,1,-0.1221,0.1980,-0.4136,0.4746,0.0695,-31.22,-4.46,8.11,0.176,-0.016,0.608,0.00,0.00,0.004,0,calibrating,10.3,ALONE,
1.057,1,1,-0.1209,0.1965,-0.4109,0.4712,0.0729,-31.41,-5.32,8.35,0.175,-0.018,0.637,0.00,0.00,0.017,0,calibrating,9.9,ALONE,
1.123,1,1,-0.1203,0.1964,-0.4101,0.4704,0.0698,-29.77,-4.81,8.17,0.189,-0.014,0.699,0.00,0.00,0.016,0,calibrating,10.3,ALONE,
1.169,1,1,-0.1206,0.1974,-0.4113,0.4719,0.0733,-31.57,-4.70,7.92,0.197,-0.010,0.607,0.00,0.00,0.007,0,calibrating,9.8,ALONE,
1.217,1,1,-0.1208,0.1983,-0.4129,0.4737,0.0635,-31.05,-5.08,7.65,0.196,-0.011,0.599,0.00,0.00,-0.002,0,calibrating,10.2,ALONE,
1.267,1,1,-0.1196,0.1970,-0.4106,0.4709,0.0723,-29.96,-5.09,7.98,0.203,-0.008,0.610,0.00,0.00,0.010,0,calibrating,10.8,NOTICING,2
1.312,1,1,-0.1187,0.1964,-0.4097,0.4696,0.0697,-30.21,-5.48,7.61,0.190,-0.015,0.852,0.00,0.00,0.013,0,calibrating,10.2,NOTICING,
1.361,1,1,-0.1184,0.1971,-0.4105,0.4705,0.0701,-30.17,-6.56,7.97,0.183,-0.012,0.810,0.00,0.00,0.007,0,calibrating,10.3,NOTICING,
