From,-> To,Conditions,Priority
ALONE,NOTICING,Face == 1 > 1 second,3
NOTICING,NEUTRAL,Attention == 1 for > 1.5 seconds,3
EXCITED,NEUTRAL,Neutral == 1 for > 2 second & Face == 1,3
CONTENT,NEUTRAL,Neutral == 1 for > 2 second & Face == 1,3
SAD,NEUTRAL,Neutral == 1 for > 2 second & Face == 1,3
ANGRY,NEUTRAL,Neutral == 1 for > 2 second & Face == 1,3
"Any except ALONE, NOTICING, YES, NO, CONTENT",CONTENT,Content == 1 for > 1.5 seconds & Face == 1,3
"Any except ALONE, NOTICING, YES, NO, EXCITED",EXCITED,Excited == 1 for > 1.5 seconds & Face == 1,3
"Any except ALONE, NOTICING, YES, NO, SAD",SAD,Sad == 1 for > 1.5 seconds & Face == 1,3
"Any except ALONE, NOTICING, YES, NO, ANGRY",ANGRY,Angry == 1 for > 1.5 seconds & Face == 1,3
"Any except ALONE, YES, NO",YES,Yes == 1 for > 500 ms,1
"Any except ALONE, NO, YES",NO,No == 1 is detected for > 500 ms,1
YES,Previous state,Return to state machine was in before YES after min duration,3
NO,Previous state,Return to state machine was in before NO after min duration,3
Any except ALONE,ALONE,Face == 0 for > 1.5 seconds,2
Any except NOTICING,NOTICING,Face == 1 > 1.5 seconds and Attention == 0 for > 1.5 seconds,2
